sha256,staffing_problem,confidence,primary_reason,evidence_staffing_cited,evidence_keywords_found,evidence_quotes,evidence_explanation
0005aef67191b6a71053e81c44c2f70a7d60ce7b92d2ca666672f197d66e30dc,False,high,not_staffing_related,False,[],[],"The report documents two established violations: failure to enter a case contact timely and failure to complete a Relative Placement Safety Screen within required timeframes. The causes cited are individual worker performance, scheduling conflicts due to illness/vacation/death in family, and case transfer when a worker left the agency. There is no mention of understaffing, failure to meet ratios, operating below minimums, shift coverage gaps, or insufficient personnel as a cause or contributing factor."
0024a225c1d3dde399bd189e0cc2392aad5b47ba9720b1f2fd40204223f74bb1,True,high,general_insufficient_staff,True,"[""insufficient staff"", ""only two staff"", ""not have enough staff"", ""had a third staff member present"", ""three staff on shift""]","[""There was insufficient staff to stop the fight sooner."", ""Youth B reported there is usually three staff present but that evening there was only two."", ""She said they could not restrain the two youths because they did not have enough staff to ensure that the two youths would not go after each other.""]","The report explicitly documents insufficient staffing as a cause of the incident. The narrative states 'There was insufficient staff to stop the fight sooner' as part of the allegation, and multiple interviews confirm only two staff were present instead of the usual three. Staff directly attributed their inability to control the situation and use restraints to not having enough personnel."
00a734fd316d634b72f233c11ba20eddc6b8e352963006f87a2a299b36cddadc,False,high,not_staffing_related,False,[],"[""Staff 1 did not maintain line-of-sight with Youth A, Youth B and Youth C."", ""Staff 1 reported she stepped off the unit and took this youth to meet another staff person... leaving Youth A, Youth B, Youth C and one other youth alone on the unit."", ""Staff 1 did not follow Great Lake Recovery Center Policy by maintaining line-of-sight on Youth A, Youth B and Youth C""]","The violation was caused by Staff 1's failure to maintain required line-of-sight supervision, not by insufficient staffing. The report documents that Staff 1 left youth unattended to escort another youth, violating supervision policy. No mention is made of understaffing, ratio violations, or coverage gaps as contributing factors."
00bc1df0d8ed15b758ea4fb9f0675f52d2c0d97d88a9beb69e15f52e32070cc9,False,high,not_staffing_related,True,"[""sufficiency of staff"", ""ratio is one staff to three youth""]","[""The facility is found in compliance as there was sufficiency of staff at the facility."", ""The facilities ratio is one staff to three youth."", ""The facility is found in noncompliance for following their internal supervision policy as the facilities internal policy states staff will provide line of sight supervision however no staff had line of sight supervision on Youth B per video camera footage.""]","The report explicitly states the facility was found in compliance with the sufficiency of staff rule. The violation was established for failing to follow the internal supervision policy (line of sight), not due to insufficient staffing levels, ratios, or coverage gaps. Staff were present and the required ratio was met, but their positioning and supervision practices were inadequate."
00c2b2403fdd7001e91fe327fc3c376f93e6e89efc7314ec7a03050ef124c452,False,high,not_staffing_related,False,[],[],"The report documents violations related to failure to follow up on medical needs, missing documentation, untimely casework entries, and failure to obtain signatures on service plans. No mention is made of staffing levels, ratios, coverage gaps, or insufficient personnel as a cause or contributing factor. The issues are attributed to individual staff performance, communication failures, and policy/procedural non-compliance."
00fbc257a3b08b5d8d4935c3568565c8ec91f6fbb8379c689b4cc9d35190f5ff,False,high,not_staffing_related,False,[],[],"The report does not mention understaffing, insufficient personnel, ratio violations, or shift coverage gaps as contributing factors. The violations stem from improper use of physical interventions, failure to follow CPI restraint protocols, lack of documentation, and individual staff misconduct. Three staff members were present during the incident, and the analysis focuses on their inappropriate actions and failure to follow policies, not staffing levels."
00fdfbed71077510235122b3db80661578d75041081defaf73a65d8ca8f656b0,False,high,not_staffing_related,False,[],[],"The report documents a serious violation where an employee sent nude photos to a foster youth. The cause is identified as the individual staff member's misconduct and inappropriate relationship with the youth. There is no mention of staffing levels, ratios, coverage gaps, or insufficient personnel as a contributing factor to the incident. The violation is attributed to failure to meet staff qualification rules regarding appropriate conduct, not staffing deficiencies."
0146c2410abd176761771d7c3b766531afc6110f17a34693aebebb1e30438d0b,False,high,not_staffing_related,False,[],[],"The violation is about failure to submit adoption records to the state within required timeframes. The narrative describes administrative and procedural issues (uncertainty about submission requirements, moving offices, backlog of records, scheduling drop-offs) but does not mention staffing levels, ratios, coverage gaps, or insufficient personnel as a cause or contributing factor. The issue is documented as a records management and compliance problem."
0173b638c939a8483e9bafaa788ca2389923ff83d8df13b138773a70bd473429,False,high,not_staffing_related,True,"[""four staff on the unit at that time""]","[""Administrator 1 reported there were four staff on the unit at that time.""]","The report explicitly states there were four staff present on the unit at the time of the incident. The violations are attributed to individual misconduct (staff providing an illicit edible), failure to follow professional boundaries policy, and failure to report the incident by other staff who were aware. Staffing levels are mentioned as a factual detail, not as a cause or contributing factor to the violations."
0193d029cf683f3132f497aa44e919c11c5abac873aac71fc0dc758328531f5d,False,high,not_staffing_related,False,[],[],"The narrative describes a specific incident involving improper restraint techniques, staff behavior escalating a youth, and the use of prohibited prone restraints. The violation is attributed to staff actions, training, and policy issues (Behavior Management Philosophy needs updating). There is no mention of understaffing, failure to meet ratios, shift coverage gaps, or insufficient personnel as causal or contributing factors. The root causes identified are related to technique, safety, and staff conduct."
01a86562abb2868595f3967f48edecf9cf67396862c7bdc0c2259a4e39367cb4,True,high,shift_coverage_gap,True,"[""out of ratio""]","[""Supervisor 3 said on Sunday 1/21/24, one staff no showed for her shift leaving a floor out of ratio from 2pm \u2013 3:15pm until Supervisor 3 was able to find coverage."", ""Analysis Supervisor 3 admitted the facility was working out of ratio for about an hour on 1/21/24 dayshift.""]","The report explicitly documents a staffing-related violation for Rule 400.4127 (Staff to resident ratio), where a staff no-show created a coverage gap causing the facility to operate out of ratio for approximately one hour. This directly meets the criteria for a staffing problem as a contributing factor to a confirmed violation."
01bc5c4ed0bd8e948889c39ba7a21973fd30e130e7c0b4ab192947a2b251acfc,False,high,not_staffing_related,False,[],[],"The incident narrative describes multiple staff members present and involved (Staff 1, Staff 2, Staff 3, Staff 4). The violation is attributed to Staff 2's individual misconduct—specifically, using improper physical intervention by lifting and slamming a youth to the ground. The analysis and technical assistance focus on staff training, policy violations, and restraint techniques, with no mention of staffing levels, ratios, coverage gaps, or insufficient personnel as contributing factors."
01c84e428b5a3beb5f57e925151bbae96755eecedd39d9ecea59bf81abf09be1,False,high,not_staffing_related,False,[],[],"The confirmed violation is that a staff member used a physical hold not approved by the facility's Crisis Prevention Institute model. The report makes no mention of staffing levels, ratios, shift coverage gaps, or insufficient personnel as a cause or contributing factor. The issue is explicitly about staff not following approved restraint techniques, which is a training/procedural failure."
01f8dec51b4a8320bb011ee6ec1713866944aae49b2808e0eefb59a52fc915bf,True,high,ratio_or_minimum_not_met,True,"[""staff-to-resident ratio""]","[""R 400.4127 Staff-to-resident ratio. (4) When residents are asleep or otherwise outside of the direct supervision of staff, staff shall perform variable interval, eye-on checks of residents. The time between the variable interval checks shall not exceed fifteen minutes."", ""10/16/2022 video tape review and bedtime room monitoring form does not reflect a staff person went to each bedroom to check on the status of the youth from 08:15 pm to 09:45 pm due to Youth A and Youth B\u2019s sexual acting out.""]","The report explicitly cites a violation of the required staff-to-resident ratio rule (R 400.4127) for supervision during sleep hours, as documented checks exceeded the mandated 15-minute intervals. The incident occurred during a documented 90-minute gap (8:15 pm to 9:45 pm) where no visual room checks were performed, directly linking a failure to meet minimum supervision standards to the violation."
022d298e7e95f8f2aa063c8b20c65acedb98f96303771e8b52e97bab169a313a,False,high,not_staffing_related,False,[],[],"The report documents violations related to grievance procedures and an earlier allegation of insufficient staff, but the confirmed violation (failure to provide proper written grievance resolution) is solely about procedural and documentation failures. The analysis for the staffing rule violation explicitly states the agency was found IN COMPLIANCE regarding sufficiency of staff, with interviews supporting that staff provided adequate redirection and supervision. Therefore, the confirmed deficiency is not attributed to staffing issues."
025766ab9f979488ee552a09798b60f6c40e37738a8537477d31007d9177a88c,False,high,not_staffing_related,True,"[""sufficiency of staff"", ""sufficient number""]","[""Rule 400.4126 Sufficiency of staff. (1) The licensee shall have a sufficient number of ... staff on duty to perform the prescribed functions"", ""Analysis: The facility is found in compliance"", ""Email authored by Chief Administrator states Youth A was not on a 1:1 ratio and that Youth B, and Youth C were on no special observations at the time of the incident.""]","The report includes a review of staffing sufficiency under Rule 400.4126, but the analysis concludes the facility was in compliance on this rule. The confirmed violations are for improper restraint technique, physical intervention (shoving), and failure to document a restraint. While staff actions are scrutinized, the narrative does not cite understaffing, ratio deficiencies, or coverage gaps as causes of the violations."
